epoch,bbox_iou,class_accuracy,learning_rate,loss,objectness_accuracy,objectness_precision,objectness_recall,val_bbox_iou,val_class_accuracy,val_loss,val_objectness_accuracy,val_objectness_precision,val_objectness_recall
0,0.4800270199775696,0.4396056830883026,4.999999873689376e-05,2.82035756111145,0.831944465637207,0.8412912487983704,0.9690476059913635,0.47220298647880554,0.3286629915237427,3.137974739074707,0.7924107313156128,0.7924107313156128,1.0
1,0.5141112804412842,0.6331102848052979,4.999999873689376e-05,2.306015968322754,0.9013888835906982,0.8950610756874084,0.992460310459137,0.5011354088783264,0.3286629915237427,2.9861233234405518,0.7924107313156128,0.7924107313156128,1.0
2,0.5356373190879822,0.793984055519104,4.999999873689376e-05,1.9914498329162598,0.9013888835906982,0.899868905544281,0.9859788417816162,0.5180816054344177,0.3286629915237427,2.9521310329437256,0.7924107313156128,0.7924107313156128,1.0
3,0.5341381430625916,0.856995701789856,4.999999873689376e-05,1.8221675157546997,0.9097222089767456,0.9033510088920593,0.9950549602508545,0.5449700951576233,0.3286629915237427,2.9678876399993896,0.7924107313156128,0.7924107313156128,1.0
4,0.5168126225471497,0.8678297400474548,4.999999873689376e-05,1.791226863861084,0.9138888716697693,0.9071201682090759,0.9948717951774597,0.5439403653144836,0.3286629915237427,3.180279016494751,0.7924107313156128,0.7924107313156128,1.0
5,0.5437548160552979,0.9105092883110046,4.999999873689376e-05,1.6079634428024292,0.9388888478279114,0.9294306635856628,1.0,0.5500578284263611,0.3390796482563019,3.2735161781311035,0.7924107313156128,0.7924107313156128,1.0
6,0.5456022620201111,0.9162447452545166,4.999999873689376e-05,1.5526371002197266,0.9388888478279114,0.9286149740219116,1.0,0.5452397465705872,0.4369734525680542,3.5433781147003174,0.7924107313156128,0.7924107313156128,1.0
7,0.5526797771453857,0.9241408705711365,4.999999873689376e-05,1.4812262058258057,0.9430555105209351,0.9341062903404236,0.9977777600288391,0.5518587231636047,0.44333791732788086,3.5293478965759277,0.7924107313156128,0.7924107313156128,1.0
8,0.5549929738044739,0.9298967123031616,4.999999873689376e-05,1.4087114334106445,0.961805522441864,0.9555028676986694,1.0,0.5095821619033813,0.4797390103340149,3.605245590209961,0.7924107313156128,0.7924107313156128,1.0
9,0.5640661120414734,0.9578752517700195,4.999999873689376e-05,1.3880932331085205,0.9520833492279053,0.9438462853431702,1.0,0.5632071495056152,0.4530448913574219,3.1197216510772705,0.7924107313156128,0.7924107313156128,1.0
10,0.5514840483665466,0.9595543146133423,4.999999873689376e-05,1.3616315126419067,0.9520833492279053,0.9485347867012024,0.9952136278152466,0.5252304673194885,0.40483060479164124,3.351449489593506,0.7924107313156128,0.7924107313156128,1.0
11,0.5601341128349304,0.9867666363716125,2.499999936844688e-05,1.2561492919921875,0.9743055105209351,0.9685882925987244,1.0,0.5300264358520508,0.5185210704803467,3.088235855102539,0.7924107313156128,0.7924107313156128,1.0
